country,iso_code,year,population,gdp,renewables_electricity,renewables_share_energy,renewables_share_elec,solar_electricity,wind_electricity,hydro_electricity,greenhouse_gas_emissions,carbon_intensity_elec
Argentina,ARG,2025,45851379.0,854914363923.0,52.96,14.803,34.58,5.14,18.62,26.25,52.99,346.0
Armenia,ARM,2025,2952355.0,39721734780.0,3.79,,38.992,1.07,0.0,2.72,2.06,211.93
Australia,AUS,2025,26974024.0,1344251444393.0,110.58,14.733,38.618,56.09,39.23,12.22,150.38,525.18
Austria,AUT,2025,9113578.0,398815419150.0,61.21,43.347,83.597,10.31,8.31,37.93,8.56,116.91
Azerbaijan,AZE,2025,10397712.0,175370552026.0,3.41,4.303,12.14,0.0,0.09,3.22,17.75,631.9
Bangladesh,BGD,2025,175686904.0,858143907016.0,2.21,1.095,2.137,1.56,0.0,0.65,71.98,696.13
Belarus,BLR,2025,8997601.0,175773799265.0,2.24,0.969,4.831,0.37,0.48,0.93,14.34,309.25
Belgium,BEL,2025,11758601.0,489678394377.0,28.38,11.454,38.935,10.45,13.72,0.44,10.92,149.82
Bolivia,BOL,2025,12581847.0,78165311428.0,4.92,,36.097,0.4,0.28,3.8,6.56,481.29
Bosnia and Herzegovina,BIH,2025,3140098.0,47069138435.0,6.29,,43.56,0.59,0.37,5.29,8.24,570.64
Brazil,BRA,2025,212812397.0,3187412907763.0,649.97,49.616,86.601,88.64,117.58,388.63,82.52,109.95
Bulgaria,BGR,2025,6714556.0,138390156500.0,12.45,16.425,32.798,6.89,1.32,2.53,10.46,275.55
Cambodia,KHM,2025,17847981.0,65136593996.0,7.26,,40.878,1.89,,5.31,8.86,498.87
Canada,CAN,2025,40126728.0,1761295624423.0,416.91,27.157,63.9,10.17,51.48,344.74,124.43,190.72
Chile,CHL,2025,19859919.0,448338105532.0,58.74,32.254,66.373,22.18,11.58,19.68,25.62,289.49
China,CHN,2025,1416096093.0,26966016991166.0,3920.47,17.472,37.044,1174.96,1135.44,1397.06,5559.88,525.34
Colombia,COL,2025,53425629.0,742716953392.0,69.6,26.093,77.025,4.6,0.15,62.5,16.88,186.81
Costa Rica,CRI,2025,5152949.0,80345898158.0,12.81,,100.0,0.09,1.55,9.58,0.31,24.2
Croatia,HRV,2025,3848164.0,102284645672.0,11.21,27.778,76.259,1.29,3.15,5.77,2.33,158.5
Cyprus,CYP,2025,1370754.0,34255009922.0,1.64,10.795,27.75,1.37,0.21,0.0,2.89,489.0
Czechia,CZE,2025,10609241.0,342966849621.0,12.72,9.746,16.848,4.39,0.57,1.71,30.31,401.46
