country,iso_code,year,population,gdp,renewables_electricity,renewables_share_energy,renewables_share_elec,solar_electricity,wind_electricity,hydro_electricity,greenhouse_gas_emissions,carbon_intensity_elec
China,CHN,2025,1416096093.0,26966016991166.0,3920.47,17.472,37.044,1174.96,1135.44,1397.06,5559.88,525.34
United States,USA,2025,347275809.0,19493170182843.0,1158.8,12.05,25.638,388.82,464.39,241.7,1737.42,384.4
Brazil,BRA,2025,212812397.0,3187412907763.0,649.97,49.616,86.601,88.64,117.58,388.63,82.52,109.95
India,IND,2025,1463865527.0,10476248645535.0,500.98,9.146,24.067,195.99,103.98,177.97,1394.95,670.13
Canada,CAN,2025,40126728.0,1761295624423.0,416.91,27.157,63.9,10.17,51.48,344.74,124.43,190.72
Germany,DEU,2025,84075075.0,3909612753939.0,295.74,23.968,59.092,89.62,136.03,19.56,164.98,329.65
Japan,JPN,2025,123103480.0,4774494846664.0,242.73,12.697,23.569,101.06,12.85,73.9,491.51,477.26
Russia,RUS,2025,143997393.0,3731440829579.0,206.98,5.999,17.353,2.84,3.64,199.73,536.43,449.73
Spain,ESP,2025,47889960.0,1625139888517.0,160.81,25.863,55.858,62.9,58.76,32.74,44.22,153.6
Norway,NOR,2025,5623074.0,482328451592.0,159.2,71.812,98.999,0.53,13.56,144.77,4.52,28.11
