year,total_renewables_twh,total_solar_twh,total_wind_twh,total_hydro_twh,avg_renewable_share_pct,yoy_growth_pct
1965,826.356,0.0,0.0,808.371,8.996640625,
1966,874.29,0.0,0.0,854.484,8.959234375,5.80064766275068
1967,897.674,0.0,0.0,877.688,8.9278125,2.6746274119571423
1968,934.862,0.0,0.0,912.742,8.791515625,4.142706595044521
1969,981.699,0.0,0.0,958.441,8.726515625,5.01004426321745
1970,1022.383,0.0,0.0,996.68,8.70846875,4.144243805891623
1971,1073.579,0.0,0.0,1046.988,8.616415384615385,5.007516752528152
1972,1130.284,0.0,0.0,1101.59,8.609753846153847,5.281865610262515
1973,1150.3990000000001,0.0,0.0,1119.6290000000001,8.356507692307693,1.779641222913897
1974,1261.974,0.0,0.0,1229.066,8.933353846153846,9.698808848060537
1975,1284.744,0.0,0.0,1251.517,9.127046153846154,1.8043160952602832
1976,1267.021,0.0,0.0,1230.3120000000001,8.649846153846154,-1.3794966156681743
1977,1298.6309999999999,0.0,0.0,1259.893,9.082507692307692,2.494828420365569
1978,1398.212,0.0,0.003,1357.2549999999999,9.145446153846153,7.668152077071944
1979,1472.763,0.0,0.006,1428.4679999999998,9.415292307692308,5.331881002308658
1980,1496.8690000000001,0.0,0.01,1449.406,9.41256923076923,1.6367874532426718
1981,1535.488,0.0,0.01,1484.717,9.694215384615385,2.57998528929384
1982,1589.1090000000002,0.0,0.019,1530.312,9.819092307692307,3.4921145590196767
1983,1670.498,0.003,0.033,1604.956,10.007630769230769,5.121675102211354
1984,1714.105,0.006,0.045,1640.55,10.359584615384616,2.6104191684156453
1985,1920.626,0.012,0.064,1844.366,9.362893333333334,12.048328427955113
1986,1937.937,0.015000000000000001,0.139,1855.229,9.23344,0.901320715225129
1987,1964.423,0.011,0.196,1875.689,9.386773333333332,1.3667110953555328
1988,2015.789,0.01,0.332,1924.3319999999999,9.530586666666666,2.6148136119359178
1989,2018.299,0.262,2.649,1913.994,9.225893333333334,0.12451700053923709
1990,2111.745,0.387,3.632,1994.1460000000002,9.443653846153847,4.6299383788031445
1991,2159.031,0.501,4.196,2035.4660000000001,9.685243589743589,2.23919081139059
1992,2174.276,0.46399999999999997,4.747,2041.869,9.548705128205128,0.7061038030486744
1993,2307.626,0.5489999999999999,5.768000000000001,2169.634,9.942217948717948,6.133076021627448
1994,2321.793,0.587,7.639,2176.562,10.021128205128205,0.6139209733293072
1995,2454.3250000000003,0.63,8.463000000000001,2302.107,9.94098717948718,5.708174673625099
1996,2484.494,0.6980000000000001,9.217,2327.965,9.620179487179488,1.2292178093773254
1997,2536.7690000000002,0.74,11.986,2366.918,9.55126923076923,2.1040501607168416
1998,2561.776,0.803,15.939,2381.06,9.833871794871795,0.9857815197205522
1999,2584.64,0.915,21.088,2391.054,9.904410256410257,0.8925058240845329
2000,2857.96,1.02,31.15,2628.49,10.033089743589743,10.574780240188186
2001,2794.75,1.36,38.19,2561.92,9.844,-2.211717448809647
2002,2871.52,1.7,52.22,2609.42,9.665666666666667,2.7469362196976377
2003,2898.91,2.09,63.19,2611.06,9.607589743589743,0.9538502256644543
2004,3130.06,2.76,85.47,2801.54,9.82553846153846,7.973686661538304
2005,3279.55,3.93,104.39,2910.31,9.867833333333333,4.775946786962559
2006,3430.58,5.3999999999999995,133.19,3015.0299999999997,10.047820512820513,4.605204982390876
2007,3539.85,7.2700000000000005,171.14,3059.77,9.976320512820513,3.185175684578123
2008,3799.12,11.83,220.83,3243.95,10.332448717948719,7.324321652047394
2009,3880.38,19.8,276.23,3239.68,10.936115384615384,2.138916380635525
2010,4191.6,32.19,345.96,3426.94,11.329294871794872,8.020348522567389
2011,4394.28,63.54,439.94,3484.86,11.165653846153845,4.835385055825925
2012,4721.55,96.89,529.22,3659.0,11.524846153846154,7.447636472869279
2013,5025.66,131.7,634.1,3789.55,12.25828205128205,6.440893350700505
2014,5282.24,196.66,705.03,3868.7000000000003,12.427589743589744,5.105399091860563
2015,5505.95,253.60999999999999,826.5600000000001,3881.23,12.637153846153845,4.235135094202458
2016,5852.13,324.46,956.09,4013.96,12.737089743589744,6.2873800161643345
2017,6212.05,440.71,1132.42,4053.1,12.920294871794871,6.150239314574346
2018,6626.97,570.62,1261.73,4175.59,13.48401282051282,6.67927656731675
2019,6982.26,692.54,1414.33,4226.87,13.740435897435896,5.361273704272085
2020,7463.750000000001,846.41,1585.06,4345.4,15.49953846153846,6.8959047643599725
2021,7922.1900000000005,1046.15,1848.29,4286.53,15.584846153846152,6.142220733545467
2022,8498.23,1322.66,2097.96,4320.83,15.769807692307694,7.2712217202566265
2023,8964.300000000001,1648.7,2308.06,4236.26,16.899692307692305,5.484318499263985
2024,9841.25,2122.76,2499.31,4429.5,17.582974358974358,9.782693573396672
2025,10210.66,2698.9300000000003,2692.38,4076.45,18.518537313432834,3.7536898259875606
